AU,t_statistic,p_value,significant
AU01_r,-0.8650001122725389,0.3904840824963314,No
AU02_r,-0.6295199919163389,0.5313985481746657,No
AU04_r,-3.2148912157515297,0.002102454574190511,Yes
AU05_r,-1.7243014347374337,0.08980240420522635,No
AU06_r,7.022836243921315,2.286981596431456e-09,Yes
AU07_r,4.624419549293654,2.049151631257769e-05,Yes
AU09_r,3.01813379902493,0.003729581910696839,Yes
AU10_r,8.293007905252313,1.552509943779469e-11,Yes
AU12_r,10.313704686470654,6.5524533785620695e-15,Yes
AU14_r,6.257517082491271,4.545218258479887e-08,Yes
AU15_r,-4.757269886175221,1.2748601748177078e-05,Yes
AU17_r,-6.748709523215679,6.701223611126084e-09,Yes
AU20_r,2.0540535637721087,0.04433501245639825,Yes
AU23_r,1.0286680316711097,0.30776480009057905,No
AU25_r,5.480587415619089,8.878237940995084e-07,Yes
AU26_r,-0.5269193993374374,0.6001923648197875,No
AU45_r,-1.6851821675167717,0.09714833994999296,No
